APTITUD_PI,NOM_DEP,NOM_PROV,NOM_DIST,SUPERFICIE_HA
FORESTAL PRODUCTIVO,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,6467.725195
PROTECCION,JUNIN,JAUJA,ACOLLA,1445.459339
FORESTAL PRODUCTIVO,CAJAMARCA,SANTA CRUZ,PULAN,5141.623051
OTROS / SIN CLASIFICAR,HUANUCO,PACHITEA,UMARI,1.071308425
AGRICOLA,CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,780.4904191
FORESTAL PRODUCTIVO,CAJAMARCA,SAN IGNACIO,HUARANGO,32318.78534
FORESTAL PRODUCTIVO,PASCO,PASCO,NINACACA,19211.10129
FORESTAL PRODUCTIVO,PASCO,OXAPAMPA,POZUZO,124.7647554
OTROS / SIN CLASIFICAR,ANCASH,POMABAMBA,PAROBAMBA,27.44644345
PECUARIO,PASCO,PASCO,NINACACA,10488.00493
FORESTAL PRODUCTIVO,SAN MARTIN,TOCACHE,POLVORA,102261.0856
FORESTAL PRODUCTIVO,ANCASH,HUARAZ,OLLEROS,1286.280226
AGRICOLA,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,25.84144048
FORESTAL PRODUCTIVO,CAJAMARCA,SAN MIGUEL,EL PRADO,2401.66912
PROTECCION,CAJAMARCA,CAJAMARCA,NAMORA,2021.111217
FORESTAL PRODUCTIVO,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,310455.3658
FORESTAL PRODUCTIVO,CAJAMARCA,CUTERVO,QUEROCOTILLO,2330.439236
PROTECCION,CAJAMARCA,SAN IGNACIO,NAMBALLE,34754.99271
PROTECCION,ANCASH,BOLOGNESI,MANGAS,4530.311261
AGRICOLA,JUNIN,TARMA,TAPO,19.11948101
PECUARIO,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,1593.168472
PECUARIO,JUNIN,JAUJA,JAUJA,186.4964426
PECUARIO,CAJAMARCA,CELENDIN,HUASMIN,27190.18685
PECUARIO,JUNIN,TARMA,TAPO,8810.941103
FORESTAL PRODUCTIVO,SAN MARTIN,LAMAS,BARRANQUITA,79754.20218
PROTECCION,HUANUCO,HUACAYBAMBA,HUACAYBAMBA,33245.10352
PROTECCION,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,7408.729769
AGRICOLA,CAJAMARCA,CELENDIN,SUCRE,21.44266197
AGRICOLA,JUNIN,CHUPACA,TRES DE DICIEMBRE,1144.24888
PROTECCION,HUANUCO,PUERTO INCA,YUYAPICHIS,48608.27587
PECUARIO,CAJAMARCA,CHOTA,ANGUIA,1073.349477
PECUARIO,JUNIN,JAUJA,APATA,8841.039521
FORESTAL PRODUCTIVO,HUANUCO,AMBO,SAN FRANCISCO,7.52762E-06
AGRICOLA,JUNIN,YAULI,LA OROYA,1585.644218
PROTECCION,JUNIN,TARMA,PALCA,24606.39866
FORESTAL PRODUCTIVO,ANCASH,PALLASCA,TAUCA,6001.167989
PECUARIO,CAJAMARCA,JAEN,JAEN,2874.854101
PROTECCION,SAN MARTIN,TOCACHE,TOCACHE,6029.55808
PROTECCION,CAJAMARCA,CAJAMARCA,COSPAN,22495.90482
PROTECCION,HUANUCO,AMBO,COLPAS,16.45570338
FORESTAL PRODUCTIVO,SAN MARTIN,PICOTA,BUENOS AIRES,30497.37907
PROTECCION,ANCASH,YUNGAY,RANRAHIRCA,1564.736532
FORESTAL PRODUCTIVO,CAJAMARCA,CAJAMARCA,ENCAÑADA,8364.119345
PROTECCION,PASCO,PASCO,NINACACA,24155.70469
PECUARIO,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,7124.415244
PECUARIO,MADRE DE DIOS,MANU,MADRE DE DIOS,4294.815105
FORESTAL PRODUCTIVO,CAJAMARCA,CAJAMARCA,COSPAN,11062.95629
PROTECCION,JUNIN,CHANCHAMAYO,CHANCHAMAYO,69781.72868
FORESTAL PRODUCTIVO,MADRE DE DIOS,MANU,MADRE DE DIOS,242000.2895
FORESTAL PRODUCTIVO,SAN MARTIN,PICOTA,PILLUANA,6626.647507
AGRICOLA,SAN MARTIN,LAMAS,CUÑUMBUQUI,96.85590163
AGRICOLA,HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,8320.031521
PROTECCION,ANCASH,HUAYLAS,PAMPAROMAS,50010.06595
FORESTAL PRODUCTIVO,JUNIN,CHANCHAMAYO,PERENE,5.54014E-06
PROTECCION,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,3493.201234
PROTECCION,SAN MARTIN,SAN MARTIN,SHAPAJA,5981.591207
